dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,build_guards,gc,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.precompile,async_compile.wait,TritonBundler.collect,cudagraphify.get_container,CachingAutotuner.benchmark_all_configs,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,compile_attempt_2,CUDAGraphNode.record
cuda,MobileBertForMaskedLM,128,7.293739,6.857012,3.889754,1.412669,0.225388,0.357572,1.081833,0.082360,2.717087,0.115998,0.114610,0.018479,0.000028,0.003105,0.000022,0.111883,0.001462,0.000595,0.097074,0.033232,0.032520,0.020165,0.410638,0.000171,0.004921,0.082045,0.019712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,19.908132,19.474902,3.000449,0.581696,0.212918,0.326290,1.258402,0.075055,16.230340,0.117148,0.115718,0.018167,0.000029,0.003002,0.000023,13.897500,1.125638,10.576895,1.380663,0.029410,0.070172,1.058928,0.000346,9.193083,9.159677,0.386296,1.811089,0.007207,0.000512,0.000033,0.002892,0.000018,0.000010,0.053928,1.240387,0.005322,0.008312,0.057506,0.000083,0.004549,0.000041,0.000026,1.716524,3.224964,3.224912,3.009763,1.078789,0.101977,1.888578,0.147118,0.212555,0.153338,0.002572,0.005962,0.414968,0.000166,0.006374,0.557549,0.020087,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,31.421844,29.808409,4.168139,1.676756,0.227663,0.360721,1.298015,0.080667,25.383992,0.114312,0.112871,0.018367,0.000029,0.003169,0.000022,22.775228,2.413772,13.827505,1.584922,0.040303,0.070960,1.251536,0.000349,12.238982,12.202710,1.183475,2.801197,0.010114,0.000545,0.000037,0.005266,0.000021,0.000010,0.062897,1.204568,0.006478,0.010405,0.173027,0.000114,0.005768,0.000050,0.000027,2.875640,3.327936,3.327874,3.246428,0.730375,0.118271,2.471661,0.200740,0.079622,0.020008,0.002660,0.004729,0.452058,0.000081,0.006404,0.437310,0.025235,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,30.068532,28.841184,4.125136,1.462853,0.231075,0.372635,1.122193,0.085735,24.462651,0.117588,0.115989,0.018859,0.000036,0.003042,0.000024,21.742073,2.051555,13.168907,1.582446,0.042738,0.071917,1.243078,0.000357,11.582933,11.547904,0.967350,2.517095,0.007923,0.000520,0.000032,0.005031,0.000020,0.000010,0.060474,1.164446,0.005334,0.008543,0.161773,0.000098,0.004947,0.000042,0.000027,2.941208,3.175162,3.175109,3.091887,0.716223,0.112643,2.332811,0.194227,0.080604,0.019256,0.002652,0.004716,1.200499,0.000171,0.009797,0.429706,0.023137,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,8.002178,7.516704,4.348386,1.692308,0.231492,0.371372,1.425751,0.082434,2.908264,0.117142,0.115561,0.019984,0.000045,0.003214,0.000027,0.110939,0.001230,0.000489,0.095882,0.034125,0.033267,0.020265,0.450083,0.000303,0.005454,0.082184,0.020446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.251197,6.814845,3.909431,1.420921,0.228823,0.360059,1.089906,0.083594,2.654914,0.113034,0.111636,0.018824,0.000032,0.003097,0.000025,0.112017,0.001167,0.000471,0.097354,0.035212,0.034455,0.022176,0.410881,0.000130,0.026149,0.081612,0.021874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.983127,7.487037,4.327102,1.689351,0.228766,0.367185,1.416056,0.081867,2.899913,0.124099,0.122460,0.018904,0.000030,0.003100,0.000028,0.113093,0.001355,0.000553,0.096785,0.035592,0.034718,0.021686,0.460542,0.000319,0.005293,0.082150,0.021328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.679892,7.223570,4.152956,1.475123,0.231520,0.375077,1.127655,0.083413,2.817612,0.116304,0.114765,0.019394,0.000030,0.003118,0.000022,0.112948,0.001329,0.000520,0.097868,0.035191,0.034312,0.021292,0.429324,0.000161,0.005509,0.081688,0.020220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,AlbertForMaskedLM,4,8.033370,7.978828,0.940443,0.487419,0.040922,0.037983,0.100050,0.014649,7.010470,0.117882,0.116429,0.006830,0.000035,0.000653,0.000023,6.502879,0.596395,4.396313,0.410557,0.007851,0.028302,0.216535,0.002831,3.985111,3.978030,0.426458,0.705155,0.002420,0.000174,0.000031,0.001320,0.000017,0.000010,0.271820,0.155599,0.001397,0.001876,0.035545,0.000074,0.001392,0.000034,0.000026,0.625933,2.051209,2.051160,1.484229,0.576494,0.332638,0.902010,0.044342,0.565873,0.555134,0.006883,0.003315,0.048145,0.000622,0.005559,0.384047,0.013332,0,0,0,0,0,0
cuda,AllenaiLongformerBase,4,50.765733,48.739031,5.518771,3.752913,0.299955,0.131562,0.456523,1.776979,0.210477,0.007831,0.116811,44.780325,0.120600,0.118892,0.017682,0.000095,0.002688,0.000076,43.845567,4.959045,24.265759,1.491839,0.224084,0.119415,0.709433,0.004759,22.769568,22.734828,2.334518,3.325480,0.012917,0.000927,0.000099,0.116893,0.000099,0.000039,0.212622,0.108192,0.007388,0.009626,2.635253,0.000280,0.007432,0.000149,0.000106,3.690876,12.521509,12.521343,11.911595,4.380739,0.733525,7.513169,0.121386,0.606286,0.324043,0.254256,0.011079,0.005612,0.694989,0.011492,0,0,0,0,0
cuda,BartForCausalLM,4,8.633492,8.518254,1.030749,0.445205,0.061669,0.085110,0.241823,0.021229,7.436140,0.119295,0.117961,0.006466,0.000028,0.000769,0.000021,6.627474,0.582782,4.413276,0.539539,0.012839,0.020103,0.348826,0.002085,3.872808,3.431808,0.417877,0.472178,0.003195,0.000189,0.000037,0.003691,0.000022,0.000011,0.032823,0.156470,0.001935,0.002797,0.040132,0.000104,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,MobileBertForMaskedLM,128,7.638568,7.195438,4.102238,1.456692,0.228346,0.372658,1.114462,0.085425,2.840387,0.115550,0.113865,0.019057,0.000033,0.003163,0.000024,0.115182,0.001239,0.000503,0.099816,0.036090,0.035227,0.020896,0.417151,0.000137,0.005061,0.127009,0.020118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.351053,0.002195,3.353637,3.343982,0.422007,0.481783,0.002986,0.000178,0.000036,0.000917,0.000019,0.000010,0.033128,0.160092,0.001918,0.002826,0.037723,0.000098,0.001678,0.000037,0.000027,0.628714,1.392728,1.392674,1.237800,0.358311,0.115654,0.868032,0.051526,0.153700,0.137486,0.003159,0.128155,0.001164,0.006584,0.132699,0.005576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,BlenderbotForCausalLM,4,15.486912,15.296951,1.969199,0.744406,0.116397,0.141283,0.420865,0.040426,13.235221,0.118701,0.117029,0.009477,0.000030,0.001433,0.000021,12.167415,1.038710,8.112553,0.653829,0.024733,0.037370,0.412949,0.003644,7.457133,7.440493,1.075251,0.860530,0.004714,0.000340,0.000031,0.006506,0.000020,0.000010,0.041069,0.304945,0.003143,0.004569,0.072576,0.000081,0.002821,0.000037,0.000025,1.188835,3.546565,3.546516,2.535130,0.792482,0.340550,1.723234,0.100042,1.009722,0.981728,0.007557,0.003184,0.176113,0.000149,0.007415,0.144347,0.012561,0,0,0,0,0,0
cuda,DebertaV2ForMaskedLM,2,20.862839,20.633262,2.602143,1.311282,0.167871,0.160771,0.482483,0.056546,17.909665,0.122729,0.121053,0.015715,0.000036,0.002157,0.000023,16.734217,1.362651,11.124907,0.877532,0.030351,0.062988,0.590233,0.005264,10.245433,10.225126,0.919936,2.257502,0.006053,0.000426,0.000034,0.010321,0.000023,0.000010,0.327163,0.579998,0.004128,0.048885,0.196206,0.000099,0.003646,0.000043,0.000027,1.474480,4.703493,4.703437,4.292320,1.550485,0.333832,2.721293,0.111288,0.409350,0.378201,0.007748,0.003285,0.206372,0.000831,0.005420,0.161274,0.010117,0,0,0,0,0,0
cuda,DistilBertForMaskedLM,128,5.104794,5.031084,0.650866,0.289067,0.026435,0.058540,0.160489,0.009897,4.350401,0.120867,0.119407,0.005195,0.000031,0.000425,0.000020,3.697038,0.323156,2.495767,0.331739,0.004308,0.028283,0.153117,0.001244,2.163489,2.158788,0.251605,0.256640,0.001341,0.000105,0.000031,0.000567,0.000017,0.000009,0.026140,0.079838,0.000803,0.001269,0.021035,0.000076,0.000817,0.000033,0.000025,0.342428,1.076024,1.075977,0.791057,0.218836,0.065957,0.565498,0.028748,0.284355,0.015361,0.004023,0.002594,0.069703,0.000600,0.005435,0.181422,0.015230,0,0,0,0,0,0
cuda,DistillGPT2,16,7.939124,2.723203,2.985440,1.070033,0.153524,0.117512,0.401378,5.073072,0.120761,0.002767,0.019125,4.750051,0.117596,0.115819,0.007292,0.000051,0.000678,0.000039,4.160314,0.291515,3.118570,0.740193,0.006244,0.015360,0.228936,0.001323,2.377627,2.372238,0.221633,0.247493,0.001304,0.000129,0.000053,0.001501,0.000035,0.000018,0.023252,0.076742,0.000814,0.001303,0.017499,0.000134,0.000798,0.000063,0.000049,0.353478,1.333504,1.333414,0.905872,0.282303,0.104201,0.616411,0.027686,0.426113,0.416531,0.003515,0.003545,0.007476,0.167821,0.004209,0,0,0,0,0
cuda,ElectraForCausalLM,32,10.350977,10.218054,1.356162,0.649549,0.068394,0.089317,0.282033,0.021493,8.806509,0.121010,0.119444,0.006537,0.000027,0.000853,0.000020,7.982771,0.824324,4.829902,0.673864,0.014938,0.024173,0.474752,0.002121,4.155055,4.145558,0.376099,0.454236,0.002553,0.000177,0.000032,0.001943,0.000018,0.000010,0.031689,0.153515,0.001521,0.002209,0.035349,0.000076,0.001399,0.000035,0.000026,0.689033,2.210552,2.210510,1.668988,0.767948,0.128502,0.890932,0.046041,0.540525,0.519318,0.003360,0.125802,0.000147,0.016056,0.213327,0.007770,0,0,0,0,0,0,0
cuda,AlbertForMaskedLM,4,1.598048,1.544711,0.928349,0.480947,0.040306,0.036738,0.097939,0.014444,0.588568,0.116968,0.115641,0.006349,0.000027,0.000637,0.000021,0.058976,0.000759,0.000285,0.051341,0.040276,0.024916,0.000447,0.046718,0.001237,0.005636,0.088786,0.005155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,AllenaiLongformerBase,4,6.725021,5.768595,5.195520,3.497353,0.293686,0.127039,0.438026,0.717870,0.206527,0.003807,0.114406,1.080695,0.119601,0.117887,0.017619,0.000092,0.002644,0.000078,0.079950,0.002787,0.001149,0.036532,0.009752,0.009481,0.004985,0.009848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,BartForCausalLM,4,2.024298,1.913762,1.026804,0.443312,0.060276,0.086629,0.241811,0.021589,0.834839,0.116277,0.114836,0.006414,0.000027,0.000794,0.000021,0.054033,0.000586,0.000226,0.048833,0.033968,0.021447,0.000443,0.103218,0.000323,0.005125,0.020136,0.005168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,BertForMaskedLM,16,2.194499,2.066012,1.110798,0.436153,0.056070,0.090236,0.281884,0.018395,0.902796,0.117930,0.116417,0.006498,0.000029,0.000684,0.000020,0.047696,0.000734,0.000293,0.019353,0.003294,0.000365,0.121877,0.000693,0.004713,0.005009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuda,BlenderbotForCausalLM,4,3.614349,3.429906,2.102055,0.747514,0.116650,0.154656,0.429975,0.041276,1.234032,0.121173,0.119552,0.011434,0.000031,0.001432,0.000021,0.077524,0.000746,0.000291,0.069216,0.042099,0.026129,0.000367,0.171616,0.000348,0.005225,0.064057,0.009442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
